iter	Passed	Remaining
0	60	60222
1	60	30267
2	61	20308
3	61	15344
4	62	12342
5	62	10334
6	62	8907
7	63	7844
8	63	7007
9	64	6341
10	64	5801
11	64	5345
12	65	4967
13	65	4633
14	66	4349
15	66	4095
16	66	3870
17	67	3673
18	67	3494
19	68	3332
20	68	3190
21	68	3062
22	69	2941
23	69	2829
24	70	2730
25	70	2641
26	70	2552
27	71	2470
28	71	2394
29	71	2323
30	72	2256
31	72	2193
32	72	2133
33	73	2078
34	73	2027
35	73	1978
36	74	1930
37	74	1886
38	74	1847
39	75	1806
40	75	1768
41	75	1731
42	76	1698
43	76	1665
44	76	1633
45	77	1603
46	77	1574
47	77	1545
48	78	1519
49	78	1494
50	79	1471
51	79	1449
52	79	1426
53	80	1403
54	80	1383
55	80	1362
56	81	1342
57	81	1323
58	81	1304
59	82	1287
60	82	1271
61	83	1255
62	83	1240
63	83	1226
64	84	1213
65	84	1199
66	85	1185
67	85	1168
68	85	1154
69	85	1141
70	86	1129
71	86	1118
72	87	1107
73	87	1096
74	88	1085
75	88	1073
76	88	1062
77	89	1052
78	89	1042
79	89	1032
80	90	1022
81	90	1013
82	90	1003
83	91	993
84	91	983
85	91	974
86	91	963
87	92	956
88	92	949
89	93	940
90	93	932
91	93	925
92	94	918
93	94	911
94	94	904
95	95	896
96	95	890
97	96	883
98	96	877
99	96	870
100	97	864
101	97	856
102	97	851
103	98	845
104	98	839
105	98	832
106	99	826
107	99	820
108	99	815
109	100	809
110	100	804
111	100	798
112	101	793
113	101	788
114	101	783
115	102	777
116	102	773
117	102	768
118	103	763
119	103	758
120	103	754
121	104	749
122	104	743
123	104	739
124	105	735
125	105	731
126	105	727
127	105	721
128	106	718
129	106	714
130	107	710
131	107	707
132	107	703
133	108	700
134	108	696
135	109	693
136	109	690
137	109	686
138	110	683
139	110	681
140	111	677
141	111	674
142	111	670
143	112	667
144	112	665
145	113	661
146	113	658
147	113	655
148	114	652
149	114	650
150	115	646
151	115	643
152	115	641
153	116	639
154	116	636
155	117	634
156	117	631
157	118	629
158	118	626
159	118	624
160	119	622
161	119	619
162	120	616
163	120	613
164	120	611
165	121	608
166	121	606
167	121	604
168	122	601
169	122	599
170	123	596
171	123	594
172	123	592
173	124	589
174	124	587
175	124	584
176	125	582
177	125	580
178	126	578
179	126	575
180	126	573
181	126	570
182	127	568
183	127	565
184	127	563
185	128	561
186	128	559
187	128	557
188	129	555
189	129	552
190	129	550
191	130	548
192	130	546
193	131	544
194	131	543
195	132	541
196	132	539
197	132	538
198	133	536
199	133	535
200	134	534
201	134	532
202	135	531
203	135	529
204	136	527
205	136	526
206	136	524
207	137	523
208	137	521
209	138	519
210	138	517
211	138	516
212	139	514
213	139	513
214	140	511
215	140	509
216	140	508
217	141	506
218	141	504
219	142	503
220	142	502
221	142	500
222	143	499
223	143	498
224	144	496
225	144	495
226	145	493
227	145	492
228	146	491
229	146	490
230	146	489
231	147	487
232	147	485
233	147	484
234	148	482
235	148	481
236	149	480
237	149	478
238	149	476
239	149	474
240	150	473
241	150	471
242	151	470
243	151	468
244	151	467
245	151	465
246	152	464
247	152	462
248	153	461
249	153	460
250	153	458
251	154	457
252	154	455
253	154	454
254	155	453
255	155	451
256	155	450
257	156	448
258	156	447
259	156	446
260	157	444
261	157	443
262	157	442
263	158	441
264	158	439
265	159	438
266	159	437
267	159	436
268	160	435
269	160	434
270	160	432
271	161	431
272	161	430
273	161	429
274	162	427
275	162	426
276	163	425
277	163	424
278	163	423
279	164	422
280	164	420
281	164	419
282	165	418
283	165	417
284	166	416
285	166	415
286	166	413
287	166	412
288	167	411
289	167	410
290	167	408
291	168	407
292	168	406
293	168	405
294	169	403
295	169	402
296	169	401
297	170	400
298	170	399
299	170	398
300	170	396
301	171	395
302	171	394
303	171	393
304	171	391
305	172	390
306	172	389
307	172	388
308	173	387
309	173	386
310	173	385
311	174	383
312	174	382
313	174	381
314	175	380
315	175	379
316	175	378
317	176	377
318	176	376
319	176	375
320	176	374
321	177	373
322	177	372
323	178	371
324	178	370
325	178	369
326	179	368
327	179	367
328	179	366
329	179	365
330	180	364
331	180	363
332	180	362
333	181	361
334	181	360
335	181	359
336	182	358
337	182	357
338	182	356
339	183	355
340	183	354
341	183	353
342	184	352
343	184	352
344	184	351
345	185	350
346	185	349
347	185	348
348	186	347
349	186	346
350	186	345
351	187	344
352	187	343
353	187	342
354	188	342
355	188	341
356	188	340
357	189	339
358	189	338
359	189	337
360	190	336
361	190	335
362	190	334
363	190	333
364	191	332
365	191	331
366	191	330
367	192	329
368	192	328
369	192	328
370	192	327
371	193	326
372	193	325
373	193	324
374	194	323
375	194	322
376	194	321
377	195	321
378	195	320
379	195	319
380	196	318
381	196	318
382	196	317
383	197	316
384	197	315
385	197	314
386	198	313
387	198	312
388	198	312
389	199	311
390	199	310
391	199	309
392	199	308
393	200	307
394	200	307
395	201	306
396	201	305
397	201	305
398	202	304
399	202	303
400	202	302
401	203	302
402	203	301
403	203	300
404	204	299
405	204	299
406	204	298
407	205	297
408	205	296
409	205	295
410	205	295
411	206	294
412	206	293
413	206	292
414	206	291
415	207	290
416	207	290
417	207	289
418	207	288
419	208	287
420	208	286
421	208	285
422	208	285
423	209	284
424	209	283
425	209	282
426	210	282
427	210	281
428	210	280
429	211	279
430	211	279
431	211	278
432	211	277
433	212	276
434	212	276
435	212	275
436	213	274
437	213	274
438	213	273
439	214	272
440	214	271
441	214	271
442	215	270
443	215	269
444	215	269
445	216	268
446	216	267
447	216	267
448	217	266
449	217	265
450	217	265
451	218	264
452	218	263
453	218	263
454	219	262
455	219	261
456	219	261
457	220	260
458	220	259
459	220	259
460	221	258
461	221	257
462	221	257
463	222	256
464	222	255
465	222	255
466	223	254
467	223	253
468	223	253
469	224	252
470	224	252
471	224	251
472	225	250
473	225	250
474	225	249
475	226	248
476	226	248
477	226	247
478	227	246
479	227	246
480	227	245
481	227	245
482	228	244
483	228	243
484	228	243
485	229	242
486	229	241
487	229	241
488	230	240
489	230	239
490	230	239
491	231	238
492	231	237
493	231	237
494	231	236
495	232	236
496	232	235
497	232	234
498	233	234
499	233	233
500	234	233
501	234	232
502	234	231
503	235	231
504	235	230
505	235	230
506	236	229
507	236	228
508	236	228
509	237	227
510	237	227
511	237	226
512	238	226
513	238	225
514	238	224
515	239	224
516	239	223
517	239	222
518	239	222
519	240	221
520	240	221
521	240	220
522	241	219
523	241	219
524	241	218
525	241	218
526	242	217
527	242	216
528	242	216
529	243	215
530	243	215
531	243	214
532	244	214
533	244	213
534	244	212
535	245	212
536	245	211
537	245	211
538	246	210
539	246	209
540	246	209
541	247	208
542	247	208
543	247	207
544	248	207
545	248	206
546	248	205
547	248	205
548	249	204
549	249	204
550	249	203
551	250	203
552	250	202
553	250	201
554	251	201
555	251	200
556	251	200
557	252	199
558	252	199
559	252	198
560	253	198
561	253	197
562	253	197
563	254	196
564	254	195
565	254	195
566	255	194
567	255	194
568	255	193
569	256	193
570	256	192
571	256	191
572	256	191
573	257	190
574	257	190
575	257	189
576	258	189
577	258	188
578	258	188
579	259	187
580	259	187
581	259	186
582	260	186
583	260	185
584	260	185
585	261	184
586	261	183
587	261	183
588	262	182
589	262	182
590	262	181
591	263	181
592	263	180
593	263	180
594	264	179
595	264	179
596	264	178
597	265	178
598	265	177
599	265	177
600	265	176
601	266	176
602	266	175
603	267	175
604	267	174
605	267	174
606	267	173
607	268	172
608	268	172
609	268	171
610	269	171
611	269	170
612	269	170
613	270	169
614	270	169
615	270	168
616	271	168
617	271	167
618	271	167
619	271	166
620	272	166
621	272	165
622	273	165
623	273	164
624	273	164
625	273	163
626	274	163
627	274	162
628	274	162
629	275	161
630	275	161
631	275	160
632	276	160
633	276	159
634	276	159
635	277	158
636	277	158
637	277	157
638	278	157
639	278	156
640	278	156
641	278	155
642	279	155
643	279	154
644	279	153
645	280	153
646	280	153
647	280	152
648	281	152
649	281	151
650	281	150
651	281	150
652	282	149
653	282	149
654	282	149
655	283	148
656	283	148
657	283	147
658	284	147
659	284	146
660	284	146
661	285	145
662	285	145
663	285	144
664	286	144
665	286	143
666	286	143
667	287	142
668	287	142
669	287	141
670	288	141
671	288	140
672	288	140
673	288	139
674	289	139
675	289	138
676	289	138
677	290	137
678	290	137
679	290	136
680	291	136
681	291	135
682	291	135
683	292	134
684	292	134
685	292	133
686	292	133
687	293	132
688	293	132
689	293	132
690	294	131
691	294	131
692	294	130
693	295	130
694	295	129
695	295	129
696	296	128
697	296	128
698	296	127
699	297	127
700	297	126
701	297	126
702	297	125
703	298	125
704	298	124
705	298	124
706	299	123
707	299	123
708	299	122
709	300	122
710	300	122
711	300	121
712	300	121
713	301	120
714	301	120
715	301	119
716	302	119
717	302	118
718	302	118
719	302	117
720	303	117
721	303	116
722	303	116
723	304	115
724	304	115
725	304	115
726	305	114
727	305	114
728	305	113
729	305	113
730	306	112
731	306	112
732	307	111
733	307	111
734	307	110
735	308	110
736	308	110
737	308	109
738	309	109
739	309	108
740	309	108
741	309	107
742	310	107
743	310	106
744	310	106
745	311	105
746	311	105
747	311	105
748	312	104
749	312	104
750	312	103
751	313	103
752	313	102
753	314	102
754	314	102
755	315	101
756	315	101
757	316	100
758	316	100
759	316	100
760	317	99
761	317	99
762	317	98
763	318	98
764	318	97
765	318	97
766	319	97
767	319	96
768	320	96
769	320	95
770	320	95
771	321	94
772	321	94
773	321	93
774	321	93
775	322	93
776	322	92
777	322	92
778	323	91
779	323	91
780	323	90
781	324	90
782	324	89
783	324	89
784	325	89
785	325	88
786	325	88
787	326	87
788	326	87
789	326	86
790	326	86
791	327	85
792	327	85
793	327	85
794	328	84
795	328	84
796	328	83
797	328	83
798	329	82
799	329	82
800	329	81
801	330	81
802	330	81
803	330	80
804	331	80
805	331	79
806	331	79
807	332	78
808	332	78
809	332	78
810	333	77
811	333	77
812	333	76
813	334	76
814	334	75
815	334	75
816	335	75
817	335	74
818	335	74
819	336	73
820	336	73
821	336	72
822	337	72
823	337	72
824	337	71
825	338	71
826	338	70
827	338	70
828	339	69
829	339	69
830	339	69
831	340	68
832	340	68
833	340	67
834	341	67
835	341	66
836	341	66
837	341	66
838	342	65
839	342	65
840	342	64
841	343	64
842	343	63
843	343	63
844	344	63
845	344	62
846	344	62
847	344	61
848	345	61
849	345	60
850	345	60
851	346	60
852	346	59
853	346	59
854	347	58
855	347	58
856	347	58
857	348	57
858	348	57
859	348	56
860	349	56
861	349	55
862	349	55
863	350	55
864	350	54
865	350	54
866	351	53
867	351	53
868	351	53
869	352	52
870	352	52
871	352	51
872	352	51
873	353	50
874	353	50
875	353	50
876	354	49
877	354	49
878	354	48
879	355	48
880	355	48
881	355	47
882	356	47
883	356	46
884	356	46
885	356	45
886	357	45
887	357	45
888	357	44
889	358	44
890	358	43
891	358	43
892	358	43
893	359	42
894	359	42
895	359	41
896	360	41
897	360	40
898	360	40
899	361	40
900	361	39
901	361	39
902	362	38
