iter	Passed	Remaining
0	0	409
1	0	422
2	1	404
3	1	402
4	1	385
5	2	386
6	2	386
7	3	377
8	3	373
9	3	370
10	4	374
11	4	380
12	5	380
13	5	371
14	5	368
15	5	364
16	6	359
17	6	359
18	7	362
19	7	360
20	7	359
21	8	356
22	8	356
23	8	354
24	9	354
25	9	352
26	9	353
27	10	357
28	10	359
29	11	362
30	11	363
31	12	364
32	12	362
33	12	361
34	13	362
35	13	361
36	13	361
37	14	361
38	14	359
39	14	358
40	15	357
41	15	358
42	16	357
43	16	356
44	16	355
45	17	355
46	17	356
47	18	357
48	18	358
49	18	359
50	19	358
51	19	356
52	19	355
53	20	356
54	20	354
55	21	355
56	21	354
57	21	353
58	22	351
59	22	350
60	22	350
61	23	350
62	23	351
63	23	350
64	24	349
65	24	349
66	25	349
67	25	348
68	25	347
69	26	346
70	26	345
71	26	345
72	27	345
73	27	346
74	28	347
75	28	347
76	28	346
77	29	347
78	29	347
79	30	347
80	30	347
81	30	346
82	31	343
83	31	342
84	31	342
85	32	342
86	32	342
87	33	342
88	33	341
89	33	341
90	34	340
91	34	340
92	34	339
93	35	339
94	35	339
95	35	338
96	36	337
97	36	337
98	37	337
99	37	336
100	37	335
101	38	335
102	38	335
103	38	335
104	39	334
105	39	333
106	39	332
107	40	332
108	40	331
109	40	331
110	41	331
111	41	331
112	42	331
113	42	332
114	43	331
115	43	330
116	43	329
117	43	328
118	44	327
119	44	327
120	44	326
121	45	325
122	45	324
123	45	324
124	46	324
125	46	323
126	46	322
127	47	321
128	47	321
129	47	320
130	48	320
131	48	319
132	49	319
133	49	318
134	49	318
135	50	318
136	50	318
137	50	318
138	51	318
139	51	317
140	52	317
141	52	315
142	52	314
143	52	314
144	53	313
145	53	313
146	53	312
147	54	312
148	54	311
149	54	310
150	55	310
151	55	310
152	56	310
153	56	309
154	56	309
155	57	308
156	57	308
157	57	308
158	58	308
159	58	308
160	59	307
161	59	307
162	59	307
163	60	307
164	60	307
165	61	307
166	61	307
167	62	307
168	62	307
169	62	307
170	63	306
171	63	306
172	64	306
173	64	306
174	64	305
175	65	305
176	65	304
177	65	304
178	66	303
179	66	303
180	66	302
181	67	302
182	67	302
183	67	301
184	68	301
185	68	301
186	69	301
187	69	300
188	69	299
189	70	299
190	70	298
191	70	297
192	71	297
193	71	297
194	71	297
195	72	296
196	72	296
197	73	296
198	73	296
199	74	296
200	74	296
201	74	295
202	75	295
203	75	294
204	75	294
205	76	293
206	76	293
207	76	292
208	77	292
209	77	291
210	77	291
211	78	291
212	78	290
213	78	290
214	79	289
215	79	289
216	79	288
217	80	288
218	80	287
219	80	287
220	81	286
221	81	286
222	82	285
223	82	285
224	82	285
225	83	285
226	83	285
227	84	284
228	84	284
229	84	283
230	85	283
231	85	282
232	85	282
233	86	281
234	86	281
235	86	280
236	87	280
237	87	279
238	87	279
239	88	278
240	88	278
241	88	278
242	89	277
243	89	277
244	89	276
245	90	276
246	90	276
247	90	275
248	91	275
249	91	274
250	91	274
251	92	274
252	92	273
253	93	273
254	93	272
255	93	272
256	94	272
257	94	272
258	94	271
259	95	271
260	95	270
261	95	270
262	96	269
263	96	269
264	97	269
265	97	269
266	97	269
267	98	268
268	98	268
269	98	267
270	99	267
271	99	266
272	100	266
273	100	265
274	100	265
275	101	265
276	101	264
277	101	263
278	101	263
279	102	262
280	102	262
281	103	262
282	103	261
283	103	261
284	104	261
285	104	261
286	105	260
287	105	260
288	105	260
289	106	259
290	106	259
291	106	259
292	107	258
293	107	258
294	107	257
295	108	257
296	108	257
297	109	257
298	109	256
299	109	256
300	110	256
301	110	255
302	111	255
303	111	255
304	112	255
305	112	254
306	112	254
307	113	254
308	113	253
309	113	253
310	114	253
311	114	252
312	115	252
313	115	252
314	115	252
315	116	251
316	116	251
317	116	250
318	117	250
319	117	250
320	118	249
321	118	249
322	118	249
323	119	248
324	119	248
325	119	247
326	120	247
327	120	247
328	121	247
329	121	246
330	122	246
331	122	246
332	122	246
333	123	245
334	123	245
335	124	245
336	124	245
337	124	244
338	125	245
339	126	244
340	126	244
341	126	244
342	127	244
343	127	243
344	128	243
345	128	243
346	129	242
347	129	242
348	129	242
349	130	241
350	130	241
351	130	240
352	131	240
353	131	240
354	132	240
355	132	239
356	133	239
357	133	239
358	133	238
359	134	238
360	134	237
361	134	237
362	135	237
363	135	237
364	136	237
365	136	236
366	137	236
367	137	236
368	138	236
369	138	235
370	138	235
371	139	235
372	139	235
373	140	234
374	140	234
375	141	234
376	141	233
377	141	233
378	142	233
379	142	233
380	143	232
381	143	232
382	144	232
383	144	231
384	145	231
385	145	231
386	145	230
387	146	230
388	146	230
389	147	230
390	147	229
391	147	229
392	148	229
393	148	228
394	149	228
395	149	228
396	149	227
397	150	227
398	150	227
399	151	226
400	151	226
401	151	225
402	152	225
403	152	225
404	153	224
405	153	224
406	153	223
407	154	223
408	154	223
409	154	222
410	155	222
411	155	222
412	156	221
413	156	221
414	156	221
415	157	220
416	157	220
417	158	220
418	158	220
419	159	219
420	159	219
421	159	219
422	160	218
423	160	218
424	161	217
425	161	217
426	161	217
427	162	216
428	162	216
429	162	215
430	163	215
431	163	215
432	164	214
433	164	214
434	164	214
435	165	213
436	165	213
437	166	213
438	166	212
439	166	212
440	167	212
441	167	211
442	168	211
443	168	210
444	168	210
445	169	210
446	169	209
447	169	209
448	170	208
449	170	208
450	170	207
451	171	207
452	171	207
453	172	207
454	172	206
455	172	206
456	173	205
457	173	205
458	174	205
459	174	204
460	175	204
461	175	204
462	175	204
463	176	203
464	176	203
465	177	202
466	177	202
467	177	202
468	178	201
469	178	201
470	178	200
471	179	200
472	179	200
473	179	199
474	180	199
475	180	198
476	180	198
477	181	197
478	181	197
479	181	196
480	182	196
481	182	195
482	182	195
483	182	195
484	183	194
485	183	194
486	183	193
487	184	193
488	184	192
489	184	192
490	185	191
491	185	191
492	185	190
493	186	190
494	186	190
495	186	189
496	186	189
497	187	188
498	187	188
499	187	187
500	188	187
501	188	187
502	188	186
503	189	186
504	189	185
505	190	185
506	190	185
507	190	184
508	191	184
509	191	183
510	191	183
511	191	182
512	192	182
513	192	182
514	192	181
515	193	181
516	193	180
517	193	180
518	194	179
519	194	179
520	194	179
521	195	178
522	195	178
523	195	177
524	196	177
525	196	176
526	196	176
527	196	176
528	197	175
529	197	175
530	198	174
531	198	174
532	198	174
533	198	173
534	199	173
535	199	172
536	199	172
537	200	171
538	200	171
539	200	171
540	201	170
541	201	170
542	201	169
543	202	169
544	202	168
545	202	168
546	202	168
547	203	167
548	203	167
549	203	166
550	204	166
551	204	166
552	204	165
553	205	165
554	205	164
555	205	164
556	206	163
557	206	163
558	206	163
559	207	162
560	207	162
561	207	161
562	208	161
563	208	161
564	208	160
565	208	160
566	209	159
567	209	159
568	209	158
569	210	158
570	210	158
571	210	157
572	211	157
573	211	156
574	211	156
575	212	156
576	212	155
577	212	155
578	213	154
579	213	154
580	213	154
581	214	153
582	214	153
583	214	152
584	215	152
585	215	152
586	215	151
587	216	151
588	216	151
589	216	150
590	217	150
591	217	149
592	217	149
593	217	148
594	218	148
595	218	148
596	218	147
597	219	147
598	219	146
599	219	146
600	219	146
601	220	145
602	220	145
603	220	144
604	221	144
605	221	144
606	222	143
607	222	143
608	222	142
609	223	142
610	223	142
